epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5835914015769958,0.6631991863250732,0.001,0.44173118472099304,0.8540563583374023
1,0.6451359391212463,0.6112324595451355,0.001,0.5304744839668274,0.7740833759307861
2,0.6784643530845642,0.5823493003845215,0.001,0.5681953430175781,0.7407457828521729
3,0.6913926005363464,0.566605269908905,0.001,0.5302759408950806,0.8045578598976135
4,0.7028953433036804,0.5518452525138855,0.001,0.5090331435203552,0.817748486995697
5,0.7071228623390198,0.546733021736145,0.001,0.5112169981002808,0.813166081905365
6,0.7150862812995911,0.5342222452163696,0.000100000005,0.5427833795547485,0.7770594954490662
7,0.7173966765403748,0.5305207371711731,0.000100000005,0.5628350377082825,0.7599245309829712
8,0.7159711122512817,0.5311513543128967,0.000100000005,0.549731969833374,0.7810232043266296
9,0.7175441384315491,0.5245407223701477,1.0000001e-05,0.5584673285484314,0.7691498398780823
10,0.7228530645370483,0.5197575688362122,1.0000001e-05,0.5578717589378357,0.7670559883117676
11,0.7240819931030273,0.5262970328330994,1.0000001e-05,0.5604526400566101,0.7643903493881226
12,0.7226564288139343,0.5241422057151794,1.0000001e-06,0.5523129105567932,0.7779152393341064
