epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9335398077964783,0.0010000000474974513,0.14191216230392456,0.9902719855308533,0.05457122623920441
1,0.9961657524108887,0.0010000000474974513,0.0167576652020216,0.9996029138565063,0.009472348727285862
2,0.9984761476516724,0.0010000000474974513,0.008072679862380028,0.9996029138565063,0.003373225685209036
3,0.9990168809890747,0.0010000000474974513,0.004195299930870533,0.9996029138565063,0.0024173844140022993
4,0.998771071434021,0.0010000000474974513,0.003920735325664282,0.9994044303894043,0.002796968910843134
5,0.998967707157135,0.0010000000474974513,0.0028905936051160097,0.9984117746353149,0.00357459275983274
6,0.9985252618789673,0.0010000000474974513,0.00367481610737741,1.0,0.0009478735737502575
7,0.998967707157135,0.0010000000474974513,0.002802962437272072,0.9994044303894043,0.0019441308686509728
8,0.9993118047714233,0.0010000000474974513,0.0018464664462953806,0.9998014569282532,0.0011182036250829697
9,0.9997541904449463,0.0010000000474974513,0.0011510845506563783,0.9994044303894043,0.001641716342419386
10,0.999606728553772,0.00010000000474974513,0.0010806546779349446,0.9996029138565063,0.0011914510978385806
11,0.9998525381088257,0.00010000000474974513,0.0007211051997728646,0.9998014569282532,0.0008377782069146633
12,0.999803364276886,0.00010000000474974513,0.0005343516240827739,0.9998014569282532,0.0007482373039238155
13,0.9999017119407654,0.00010000000474974513,0.0005110724596306682,0.9998014569282532,0.0006017764681018889
14,0.999803364276886,0.00010000000474974513,0.0007017512689344585,0.9998014569282532,0.0006566695519722998
15,1.0,0.00010000000474974513,0.00030318714561872184,0.9998014569282532,0.0006440666038542986
16,0.9999017119407654,0.00010000000474974513,0.00037170512950979173,0.9998014569282532,0.0006690659793093801
17,0.9999508261680603,1.0000000656873453e-05,0.0003402801521588117,0.9998014569282532,0.0006667949492111802
18,0.9999508261680603,1.0000000656873453e-05,0.0003553587303031236,0.9998014569282532,0.0006715119816362858
19,0.9999508261680603,1.0000000656873453e-05,0.0003784886794164777,0.9998014569282532,0.0006526610814034939
20,0.9999017119407654,1.0000001111620804e-06,0.0007403861964121461,0.9998014569282532,0.0006490027299150825
21,0.9998525381088257,1.0000001111620804e-06,0.0003775256627704948,0.9998014569282532,0.000652976450510323
22,1.0,1.0000001111620804e-06,0.00025284045841544867,0.9998014569282532,0.0006367171299643815
23,0.9999508261680603,9.999999974752427e-07,0.0009446250041946769,0.9998014569282532,0.0006437981501221657
