epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8997689485549927,0.0010000000474974513,0.17075812816619873,0.9823307394981384,0.08461243659257889
1,0.9908076524734497,0.0010000000474974513,0.02804582007229328,0.9962279200553894,0.018452810123562813
2,0.995280921459198,0.0010000000474974513,0.013495899736881256,0.9984117746353149,0.007113608531653881
3,0.9970505833625793,0.0010000000474974513,0.008895874954760075,0.9976176023483276,0.007467799820005894
4,0.997345507144928,0.0010000000474974513,0.007815515622496605,0.9996029138565063,0.0024823385756462812
5,0.9988202452659607,0.0010000000474974513,0.0033359373919665813,0.9996029138565063,0.0013962330995127559
6,0.9976404905319214,0.0010000000474974513,0.005516980309039354,0.9994044303894043,0.0015949615044519305
7,0.9993118047714233,0.0010000000474974513,0.0025098323822021484,0.9990073442459106,0.0035586622543632984
8,0.9987218976020813,0.0010000000474974513,0.003093373728916049,0.9994044303894043,0.0021309873554855585
9,0.999410092830658,0.00010000000474974513,0.0025303377769887447,0.9992058873176575,0.0016916565364226699
10,0.999360978603363,0.00010000000474974513,0.001958597684279084,0.9992058873176575,0.00163990817964077
11,0.9996559023857117,0.00010000000474974513,0.0013126381672918797,0.9992058873176575,0.0015430193161591887
12,0.999803364276886,1.0000000656873453e-05,0.000997419934719801,0.9992058873176575,0.0014675904531031847
13,0.9996559023857117,1.0000000656873453e-05,0.0012478939024731517,0.9992058873176575,0.0014456200879067183
14,0.999557614326477,1.0000000656873453e-05,0.0014456030912697315,0.9992058873176575,0.0014300815528258681
15,0.9997541904449463,1.0000001111620804e-06,0.0014772277791053057,0.9994044303894043,0.001432760152965784
