epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6344688534736633,0.5992307066917419,0.001,0.5767321586608887,0.7278656959533691
1,0.7151354551315308,0.4969767928123474,0.001,0.6922771334648132,0.5761834383010864
2,0.7482180595397949,0.4528457224369049,0.001,0.7089537382125854,0.5223336815834045
3,0.7629159688949585,0.427738755941391,0.001,0.6543577313423157,0.6273010969161987
4,0.7804158926010132,0.4033883810043335,0.001,0.6867182850837708,0.5941848158836365
5,0.7842992544174194,0.39345991611480713,0.001,0.6795711517333984,0.5930424928665161
6,0.7942781448364258,0.37938016653060913,0.000100000005,0.7166964411735535,0.5311057567596436
7,0.7999803423881531,0.36125150322914124,0.000100000005,0.731387734413147,0.5159105658531189
8,0.8038637638092041,0.35646793246269226,0.000100000005,0.734365701675415,0.5182132720947266
9,0.8066656589508057,0.3585194945335388,0.000100000005,0.73277747631073,0.5148293972015381
10,0.8061249852180481,0.3545721769332886,0.000100000005,0.7393289804458618,0.506071925163269
11,0.8089760541915894,0.3531653881072998,0.000100000005,0.7403216361999512,0.5167461037635803
12,0.8120729327201843,0.347385048866272,0.000100000005,0.7403216361999512,0.5140073895454407
13,0.8142358660697937,0.34528791904449463,0.000100000005,0.7393289804458618,0.5101723670959473
14,0.8140884041786194,0.3407813310623169,1.0000001e-05,0.739130437374115,0.5100048780441284
15,0.818070113658905,0.33755937218666077,1.0000001e-05,0.7423069477081299,0.5055381059646606
16,0.814776599407196,0.337962806224823,1.0000001e-05,0.7448878288269043,0.5017813444137573
17,0.8175293803215027,0.33610111474990845,1.0000001e-05,0.7454833984375,0.5002692937850952
18,0.8178243041038513,0.34170275926589966,1.0000001e-05,0.7419098615646362,0.5053097605705261
19,0.8169886469841003,0.3383602201938629,1.0000001e-05,0.7421084046363831,0.5055229067802429
20,0.8219534754753113,0.33491700887680054,1.0000001e-05,0.7432996034622192,0.5031454563140869
21,0.8183650374412537,0.34086519479751587,1.0000001e-06,0.7434980869293213,0.5020048022270203
22,0.816005527973175,0.34690678119659424,1.0000001e-06,0.7448878288269043,0.5012655258178711
23,0.815612256526947,0.34379270672798157,1.0000001e-06,0.7434980869293213,0.49935558438301086
24,0.817480206489563,0.3387134373188019,1.0000001e-06,0.7419098615646362,0.5031113028526306
25,0.8208228945732117,0.33270323276519775,1.0000001e-06,0.7438951730728149,0.5013007521629333
26,0.8164970874786377,0.3371236026287079,1.0000001e-06,0.7415128350257874,0.5080016255378723
27,0.8179717659950256,0.33408239483833313,1e-06,0.7442922592163086,0.5032207369804382
28,0.8169394731521606,0.3419839143753052,1e-06,0.7409172058105469,0.5050986409187317
29,0.8191515803337097,0.3391246497631073,1e-06,0.7415128350257874,0.5060597658157349
30,0.8188565969467163,0.33618173003196716,1e-06,0.7427039742469788,0.5023337006568909
31,0.8196922540664673,0.3350186049938202,1e-06,0.7411157488822937,0.5074083805084229
32,0.8151698112487793,0.3408266007900238,1e-06,0.737740695476532,0.5119119882583618
33,0.815612256526947,0.33959800004959106,1e-06,0.7403216361999512,0.5096157789230347
