epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9121565222740173,0.0010000000474974513,0.1481347680091858,0.9829263687133789,0.06668126583099365
1,0.994248628616333,0.0010000000474974513,0.02030847780406475,0.9956323504447937,0.017516715452075005
2,0.9972472190856934,0.0010000000474974513,0.009300926700234413,0.9982132315635681,0.006499892100691795
3,0.9988202452659607,0.0010000000474974513,0.0045856572687625885,0.9970220327377319,0.009009748697280884
4,0.9984761476516724,0.0010000000474974513,0.004361298400908709,0.9990073442459106,0.002670377492904663
5,0.9990168809890747,0.0010000000474974513,0.0037808013148605824,0.9988088011741638,0.0021740563679486513
6,0.9996559023857117,0.0010000000474974513,0.0017180910799652338,0.9994044303894043,0.0016853812849149108
7,0.9989185333251953,0.0010000000474974513,0.0028566813562065363,0.998610258102417,0.002977409167215228
8,0.999164342880249,0.0010000000474974513,0.002818317851051688,0.9992058873176575,0.0014954874059185386
9,0.9988202452659607,0.0010000000474974513,0.003320540999993682,0.9994044303894043,0.0019477279856801033
10,0.9996559023857117,0.0010000000474974513,0.0014748790999874473,1.0,0.000299304403597489
11,0.999557614326477,0.0010000000474974513,0.001532301539555192,0.9996029138565063,0.0009003513841889799
12,0.9991151690483093,0.0010000000474974513,0.003786453977227211,1.0,0.0005091925850138068
13,0.9994592666625977,0.0010000000474974513,0.0011624948820099235,0.9994044303894043,0.0013425934594124556
14,0.9997050762176514,0.00010000000474974513,0.000795968750026077,0.9996029138565063,0.0009812250500544906
15,0.9996559023857117,0.00010000000474974513,0.0006558813620358706,0.9998014569282532,0.0006751985638402402
16,0.9999017119407654,0.00010000000474974513,0.0003944982017856091,0.9998014569282532,0.000566009315662086
17,0.9999017119407654,1.0000000656873453e-05,0.00042410974856466055,0.9998014569282532,0.0005482346750795841
18,0.999803364276886,1.0000000656873453e-05,0.0004020031774416566,0.9998014569282532,0.0005374701577238739
19,0.999803364276886,1.0000000656873453e-05,0.0006715635536238551,0.9998014569282532,0.0004906139802187681
20,0.9997541904449463,1.0000001111620804e-06,0.00052876106929034,0.9998014569282532,0.00048638516454957426
