epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8623605370521545,0.0010000000474974513,0.22443081438541412,0.9531466960906982,0.13740380108356476
1,0.9795015454292297,0.0010000000474974513,0.055903155356645584,0.9557276368141174,0.1279291957616806
2,0.9867767691612244,0.0010000000474974513,0.03487129881978035,0.9940440654754639,0.017307352274656296
3,0.9898736476898193,0.0010000000474974513,0.027636699378490448,0.9924558401107788,0.019989868625998497
4,0.9920365810394287,0.0010000000474974513,0.022459957748651505,0.9948381781578064,0.016836224123835564
5,0.9916433095932007,0.0010000000474974513,0.021479180082678795,0.993845522403717,0.015954330563545227
6,0.9930688738822937,0.0010000000474974513,0.01746617630124092,0.9960293769836426,0.009018737822771072
7,0.9945927262306213,0.0010000000474974513,0.01593387871980667,0.9946396946907043,0.014230298809707165
8,0.9927739500999451,0.0010000000474974513,0.017275243997573853,0.9926543831825256,0.02147286757826805
9,0.996067464351654,0.0010000000474974513,0.010614601895213127,0.9988088011741638,0.004141666926443577
10,0.997148871421814,0.0010000000474974513,0.008399064652621746,0.9968234896659851,0.008309829980134964
11,0.9984269738197327,0.0010000000474974513,0.004552886355668306,0.9956323504447937,0.009890514425933361
12,0.996509850025177,0.0010000000474974513,0.011388341896235943,0.9910660982131958,0.02437478117644787
13,0.9957233667373657,0.00010000000474974513,0.00946167390793562,0.9980146884918213,0.004284183960407972
14,0.9985252618789673,0.00010000000474974513,0.004081863909959793,0.9982132315635681,0.004288326948881149
15,0.9986727833747864,0.00010000000474974513,0.004069156479090452,0.9988088011741638,0.0032299936283379793
16,0.9985252618789673,0.00010000000474974513,0.0036268820986151695,0.9978161454200745,0.004394638352096081
17,0.9990659952163696,0.00010000000474974513,0.002920234575867653,0.9988088011741638,0.003079709829762578
18,0.9990659952163696,0.00010000000474974513,0.002389563014730811,0.9990073442459106,0.0028931463602930307
19,0.9992135167121887,0.00010000000474974513,0.0026270549278706312,0.9984117746353149,0.0030683663208037615
20,0.9992626309394836,0.00010000000474974513,0.0021060919389128685,0.9988088011741638,0.002407143358141184
21,0.9995084404945374,0.00010000000474974513,0.0015992301050573587,0.9988088011741638,0.0028170838486403227
22,0.9994592666625977,0.00010000000474974513,0.001715018879622221,0.9990073442459106,0.002459357026964426
23,0.9994592666625977,0.00010000000474974513,0.0017919178353622556,0.998610258102417,0.003527643857523799
24,0.999557614326477,1.0000000656873453e-05,0.0018605219665914774,0.998610258102417,0.003619711147621274
25,0.9996559023857117,1.0000000656873453e-05,0.001339178648777306,0.998610258102417,0.003487510373815894
26,0.9995084404945374,1.0000000656873453e-05,0.0014304709620773792,0.998610258102417,0.003319932147860527
27,0.9994592666625977,1.0000001111620804e-06,0.0014266502112150192,0.998610258102417,0.0033384007401764393
28,0.999557614326477,1.0000001111620804e-06,0.0015717841451987624,0.9988088011741638,0.0032751576509326696
29,0.9996559023857117,1.0000001111620804e-06,0.0014231032691895962,0.9988088011741638,0.0032426195684820414
30,0.9996559023857117,9.999999974752427e-07,0.0013948039850220084,0.9988088011741638,0.003203272121027112
