epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8708646893501282,0.26130279898643494,0.001,0.9354774951934814,0.1666257530450821
1,0.9704566597938538,0.07708663493394852,0.001,0.9618820548057556,0.10368505120277405
2,0.9811728596687317,0.051250725984573364,0.001,0.9559261202812195,0.13428229093551636
3,0.985007107257843,0.03869476541876793,0.001,0.9608893990516663,0.11675472557544708
4,0.9882515072822571,0.03201178461313248,0.001,0.9559261202812195,0.14710894227027893
5,0.9893820881843567,0.02428477630019188,0.000100000005,0.9541393518447876,0.15277746319770813
6,0.9905127286911011,0.02349884994328022,0.000100000005,0.95652174949646,0.14540749788284302
7,0.992184042930603,0.019817600026726723,0.000100000005,0.9561246633529663,0.15260560810565948
8,0.9914466738700867,0.02098269574344158,1.0000001e-05,0.9557276368141174,0.1504843831062317
9,0.9931180477142334,0.01824314147233963,1.0000001e-05,0.9567202925682068,0.1472558081150055
10,0.9926756024360657,0.018644198775291443,1.0000001e-05,0.9561246633529663,0.14900271594524384
11,0.9938062429428101,0.017045557498931885,1.0000001e-06,0.9569187760353088,0.14772763848304749
