epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8122695684432983,0.35180240869522095,0.001,0.8109986186027527,0.4288693964481354
1,0.9096986651420593,0.19572678208351135,0.001,0.8850506544113159,0.27482324838638306
2,0.92906653881073,0.16429860889911652,0.001,0.8965654373168945,0.2469184845685959
3,0.9398810267448425,0.13451312482357025,0.001,0.9273377060890198,0.19246326386928558
4,0.9479919672012329,0.12025768309831619,0.001,0.8904109597206116,0.2794477939605713
5,0.9530550837516785,0.10705716907978058,0.001,0.8830653429031372,0.3183163106441498
6,0.9514329433441162,0.10861539840698242,0.001,0.9186023473739624,0.2168523520231247
7,0.9616575837135315,0.08894079178571701,0.000100000005,0.9074845910072327,0.25052985548973083
8,0.9608219265937805,0.08875857293605804,0.000100000005,0.899146318435669,0.2700141370296478
9,0.9640170931816101,0.08420120924711227,0.000100000005,0.8993448615074158,0.28110721707344055
10,0.9649019241333008,0.08032147586345673,1.0000001e-05,0.9031169414520264,0.27332985401153564
11,0.9652460217475891,0.08185503631830215,1.0000001e-05,0.9039110541343689,0.27103450894355774
12,0.9654426574707031,0.08712545037269592,1.0000001e-05,0.9023228287696838,0.27060920000076294
13,0.9642137289047241,0.08324647694826126,1.0000001e-06,0.9037125110626221,0.26634395122528076
