epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8827606439590454,0.0010000000474974513,0.1902236044406891,0.9561246633529663,0.12842711806297302
1,0.987268328666687,0.0010000000474974513,0.04000946879386902,0.9779630899429321,0.061044443398714066
2,0.9947893619537354,0.0010000000474974513,0.0180776696652174,0.9886837601661682,0.03341228887438774
3,0.9969522953033447,0.0010000000474974513,0.00988032203167677,0.985904335975647,0.040544912219047546
4,0.9972963929176331,0.0010000000474974513,0.007792139425873756,0.9823307394981384,0.04696788638830185
5,0.9970014095306396,0.0010000000474974513,0.010597961023449898,0.9847131371498108,0.04969509318470955
6,0.9985252618789673,0.00010000000474974513,0.004948475863784552,0.9847131371498108,0.048671506345272064
7,0.998377799987793,0.00010000000474974513,0.004985572304576635,0.9866984486579895,0.04385533928871155
8,0.9990659952163696,0.00010000000474974513,0.0035815013106912374,0.9872940182685852,0.0401037260890007
9,0.999164342880249,1.0000000656873453e-05,0.0032696679700165987,0.9870954751968384,0.040482211858034134
10,0.9993118047714233,1.0000000656873453e-05,0.0028741667047142982,0.987492561340332,0.03974292054772377
11,0.9992626309394836,1.0000000656873453e-05,0.0033201423939317465,0.9866984486579895,0.040381744503974915
12,0.9993118047714233,1.0000001111620804e-06,0.0027028368785977364,0.9866984486579895,0.04032285138964653
