epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8977043628692627,0.0010000000474974513,0.18338322639465332,0.9761763215065002,0.09218204766511917
1,0.9885956048965454,0.0010000000474974513,0.03432979807257652,0.9952352643013,0.020297151058912277
2,0.9915450215339661,0.0010000000474974513,0.02485985867679119,0.9968234896659851,0.014296953566372395
3,0.994051992893219,0.0010000000474974513,0.017724966630339622,0.9958308339118958,0.012086177244782448
4,0.9935112595558167,0.0010000000474974513,0.017180591821670532,0.9970220327377319,0.011252447962760925
5,0.9974929690361023,0.0010000000474974513,0.006583994720131159,0.9978161454200745,0.006569697987288237
6,0.9973946809768677,0.0010000000474974513,0.00863567553460598,0.9952352643013,0.016133945435285568
7,0.9933637976646423,0.0010000000474974513,0.02046462707221508,0.9990073442459106,0.004620683379471302
8,0.997099757194519,0.0010000000474974513,0.007924728095531464,0.9990073442459106,0.0022028046660125256
9,0.9968047738075256,0.0010000000474974513,0.008065950125455856,0.9992058873176575,0.0018529066583141685
10,0.998328685760498,0.0010000000474974513,0.003977144602686167,0.9994044303894043,0.0018647621618583798
11,0.998181164264679,0.0010000000474974513,0.005637724418193102,0.9992058873176575,0.0020500158425420523
12,0.996067464351654,0.0010000000474974513,0.011409856379032135,0.9996029138565063,0.0022645089775323868
13,0.9980337023735046,0.00010000000474974513,0.004814037587493658,0.9996029138565063,0.001444555353373289
14,0.998574435710907,0.00010000000474974513,0.0038062843959778547,0.9994044303894043,0.001595131354406476
15,0.9991151690483093,0.00010000000474974513,0.002056916244328022,0.9994044303894043,0.0013997965725138783
16,0.999164342880249,0.00010000000474974513,0.002097531221807003,0.9994044303894043,0.0018468352500349283
17,0.9991151690483093,1.0000000656873453e-05,0.0027805352583527565,0.9994044303894043,0.0017290980322286487
18,0.999164342880249,1.0000000656873453e-05,0.002388875698670745,0.9994044303894043,0.0017346999375149608
19,0.999410092830658,1.0000000656873453e-05,0.002393736969679594,0.9994044303894043,0.0016466152155771852
20,0.999164342880249,1.0000001111620804e-06,0.0038934843614697456,0.9994044303894043,0.0016715644160285592
21,0.9986727833747864,1.0000001111620804e-06,0.00274003017693758,0.9994044303894043,0.0016696841921657324
22,0.998967707157135,1.0000001111620804e-06,0.002872070763260126,0.9994044303894043,0.0016585479024797678
23,0.999410092830658,9.999999974752427e-07,0.004616961348801851,0.9994044303894043,0.001671917038038373
24,0.9990168809890747,9.999999974752427e-07,0.0028755762614309788,0.9994044303894043,0.0016372490208595991
25,0.999360978603363,9.999999974752427e-07,0.0018855722155421972,0.9994044303894043,0.0016147370915859938
