epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7033869028091431,0.4871947169303894,0.001,0.7978955507278442,0.39724984765052795
1,0.7918202877044678,0.3684663772583008,0.001,0.8417708873748779,0.3277589976787567
2,0.8088777661323547,0.3427031934261322,0.001,0.8181456923484802,0.36687028408050537
3,0.8173327445983887,0.32019951939582825,0.001,0.8149692416191101,0.391070157289505
4,0.8251487016677856,0.30379053950309753,0.001,0.8250942826271057,0.3732214570045471
5,0.8300644159317017,0.28480926156044006,0.000100000005,0.8201310038566589,0.3790165185928345
6,0.8322272896766663,0.28509584069252014,0.000100000005,0.818344235420227,0.37121251225471497
7,0.8381752967834473,0.276091992855072,0.000100000005,0.8179472088813782,0.36775773763656616
8,0.8396008610725403,0.27370789647102356,1.0000001e-05,0.8209251761436462,0.36525633931159973
9,0.8390601277351379,0.27237769961357117,1.0000001e-05,0.8195354342460632,0.3667784035205841
10,0.8393550515174866,0.27216339111328125,1.0000001e-05,0.8211236596107483,0.3658076524734497
11,0.841517984867096,0.26812943816185,1.0000001e-06,0.8209251761436462,0.36608919501304626
