epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8849726915359497,0.0010000000474974513,0.21024027466773987,0.900734543800354,0.2836064100265503
1,0.9816644787788391,0.0010000000474974513,0.05240161716938019,0.9686321020126343,0.09134279936552048
2,0.989726185798645,0.0010000000474974513,0.029903065413236618,0.9841175079345703,0.04521471634507179
3,0.991594135761261,0.0010000000474974513,0.02701674960553646,0.9857057929039001,0.04389160871505737
4,0.9958216547966003,0.0010000000474974513,0.011782700195908546,0.9843160510063171,0.0497330017387867
5,0.9964115619659424,0.0010000000474974513,0.010725564323365688,0.983124852180481,0.05177846550941467
6,0.9940028786659241,0.0010000000474974513,0.016065873205661774,0.9898748993873596,0.032235581427812576
7,0.995280921459198,0.0010000000474974513,0.01277865469455719,0.9739924669265747,0.0909448191523552
8,0.9965590238571167,0.0010000000474974513,0.009840602986514568,0.9839190244674683,0.052815258502960205
9,0.9955267310142517,0.0010000000474974513,0.010982012376189232,0.9851101636886597,0.047527555376291275
10,0.9985252618789673,0.00010000000474974513,0.004398545250296593,0.9857057929039001,0.04997316375374794
11,0.9986727833747864,0.00010000000474974513,0.003650281112641096,0.9894778728485107,0.03518059477210045
12,0.9991151690483093,0.00010000000474974513,0.0028215476777404547,0.9890807867050171,0.036328017711639404
13,0.9989185333251953,1.0000000656873453e-05,0.0033560143783688545,0.9894778728485107,0.03559883311390877
14,0.999557614326477,1.0000000656873453e-05,0.0022961117792874575,0.9894778728485107,0.036006662994623184
15,0.9993118047714233,1.0000000656873453e-05,0.0022422580514103174,0.9892793297767639,0.03590640798211098
16,0.9990659952163696,1.0000001111620804e-06,0.0030895168893039227,0.9892793297767639,0.03628075495362282
