epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8637860417366028,0.24006976187229156,0.001,0.9368671774864197,0.17605644464492798
1,0.9653443694114685,0.08668838441371918,0.001,0.9670438766479492,0.09088204801082611
2,0.9757164716720581,0.06072479113936424,0.001,0.9678379893302917,0.08888693153858185
3,0.979649007320404,0.05550519749522209,0.001,0.9589040875434875,0.12383592128753662
4,0.9825984239578247,0.04220161959528923,0.001,0.9660512208938599,0.10179007798433304
5,0.9862852096557617,0.0375576913356781,0.001,0.9670438766479492,0.09764000028371811
6,0.9875633120536804,0.03309110179543495,0.000100000005,0.9638673663139343,0.11574417352676392
7,0.9886447191238403,0.0266613457351923,0.000100000005,0.964264452457428,0.11207375675439835
8,0.9902177453041077,0.027103999629616737,0.000100000005,0.9664483070373535,0.10460220277309418
9,0.9906110167503357,0.022449731826782227,1.0000001e-05,0.967242419719696,0.10363206267356873
10,0.990561842918396,0.024170026183128357,1.0000001e-05,0.9664483070373535,0.10471800714731216
11,0.991594135761261,0.024628588929772377,1.0000001e-05,0.9664483070373535,0.10651133954524994
12,0.990955114364624,0.024835040792822838,1.0000001e-06,0.9664483070373535,0.10613785684108734
