epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6996510028839111,0.48336589336395264,0.001,0.779630720615387,0.4357154071331024
1,0.8026348352432251,0.3577433228492737,0.001,0.823108971118927,0.35208889842033386
2,0.8264759182929993,0.31870171427726746,0.001,0.7992852926254272,0.4027165472507477
3,0.8376837372779846,0.29561829566955566,0.001,0.7857851982116699,0.4230184853076935
4,0.8447623252868652,0.27788057923316956,0.001,0.8104029893875122,0.37282368540763855
5,0.8518900871276855,0.25268906354904175,0.000100000005,0.8066309094429016,0.3833748996257782
6,0.8592636585235596,0.2459501028060913,0.000100000005,0.8092118501663208,0.38410136103630066
7,0.8635894656181335,0.24287930130958557,0.000100000005,0.8086162209510803,0.3882618844509125
8,0.8638352155685425,0.23616637289524078,1.0000001e-05,0.8111971616744995,0.38638389110565186
9,0.8648183941841125,0.2394431084394455,1.0000001e-05,0.8117927312850952,0.383466511964798
10,0.8647692203521729,0.2383296638727188,1.0000001e-05,0.8121898174285889,0.3830425441265106
11,0.8644742369651794,0.2411264181137085,1.0000001e-06,0.8129839301109314,0.38252130150794983
