epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8411738872528076,0.2634930908679962,0.001,0.9299185872077942,0.18066918849945068
1,0.9695227146148682,0.07490961998701096,0.001,0.9636688232421875,0.10547246783971786
2,0.981713593006134,0.04689547047019005,0.001,0.9640659093856812,0.10906878113746643
3,0.9844663739204407,0.0450810007750988,0.001,0.9583085179328918,0.13779623806476593
4,0.9861377477645874,0.034229621291160583,0.001,0.9640659093856812,0.1168268620967865
5,0.9920365810394287,0.02331514097750187,0.000100000005,0.9626761674880981,0.13452962040901184
6,0.9921348690986633,0.02197951264679432,0.000100000005,0.9596982598304749,0.14906162023544312
7,0.9929705262184143,0.019516807049512863,0.000100000005,0.9602938294410706,0.14772821962833405
8,0.9922823309898376,0.019689608365297318,1.0000001e-05,0.9606909155845642,0.14658819139003754
9,0.9923315048217773,0.017983881756663322,1.0000001e-05,0.9610879421234131,0.14585094153881073
10,0.9943960905075073,0.017167111858725548,1.0000001e-05,0.9604923725128174,0.14660139381885529
11,0.9931180477142334,0.017159461975097656,1.0000001e-06,0.9606909155845642,0.14752446115016937
