combo,results_dir,accuracy,best_model,final_model,error,accuracy_disp
KM,/home/vpopescu/projects/ASVspoof/results/combo_KM,0.7853,/home/vpopescu/projects/ASVspoof/results/combo_KM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KM/final_model.keras,,0.7853
KMN,/home/vpopescu/projects/ASVspoof/results/combo_KMN,0.870391,/home/vpopescu/projects/ASVspoof/results/combo_KMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KMN/final_model.keras,,0.870391
KMNO,/home/vpopescu/projects/ASVspoof/results/combo_KMNO,0.935236,/home/vpopescu/projects/ASVspoof/results/combo_KMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KMNO/final_model.keras,,0.935236
KMO,/home/vpopescu/projects/ASVspoof/results/combo_KMO,0.883875,/home/vpopescu/projects/ASVspoof/results/combo_KMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KMO/final_model.keras,,0.883875
KN,/home/vpopescu/projects/ASVspoof/results/combo_KN,0.607632,/home/vpopescu/projects/ASVspoof/results/combo_KN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KN/final_model.keras,,0.607632
KNO,/home/vpopescu/projects/ASVspoof/results/combo_KNO,0.738609,/home/vpopescu/projects/ASVspoof/results/combo_KNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KNO/final_model.keras,,0.738609
KO,/home/vpopescu/projects/ASVspoof/results/combo_KO,0.731082,/home/vpopescu/projects/ASVspoof/results/combo_KO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_KO/final_model.keras,,0.731082
L,/home/vpopescu/projects/ASVspoof/results/combo_L,0.62172,/home/vpopescu/projects/ASVspoof/results/combo_L/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_L/final_model.keras,,0.62172
LM,/home/vpopescu/projects/ASVspoof/results/combo_LM,0.789245,/home/vpopescu/projects/ASVspoof/results/combo_LM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LM/final_model.keras,,0.789245
LMN,/home/vpopescu/projects/ASVspoof/results/combo_LMN,0.877395,/home/vpopescu/projects/ASVspoof/results/combo_LMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LMN/final_model.keras,,0.877395
LMNO,/home/vpopescu/projects/ASVspoof/results/combo_LMNO,0.939301,/home/vpopescu/projects/ASVspoof/results/combo_LMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LMNO/final_model.keras,,0.939301
LMO,/home/vpopescu/projects/ASVspoof/results/combo_LMO,0.899251,/home/vpopescu/projects/ASVspoof/results/combo_LMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LMO/final_model.keras,,0.899251
LN,/home/vpopescu/projects/ASVspoof/results/combo_LN,0.699163,/home/vpopescu/projects/ASVspoof/results/combo_LN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LN/final_model.keras,,0.699163
LNO,/home/vpopescu/projects/ASVspoof/results/combo_LNO,0.74364,/home/vpopescu/projects/ASVspoof/results/combo_LNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LNO/final_model.keras,,0.74364
LO,/home/vpopescu/projects/ASVspoof/results/combo_LO,0.736717,/home/vpopescu/projects/ASVspoof/results/combo_LO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_LO/final_model.keras,,0.736717
M,/home/vpopescu/projects/ASVspoof/results/combo_M,0.787192,/home/vpopescu/projects/ASVspoof/results/combo_M/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_M/final_model.keras,,0.787192
MN,/home/vpopescu/projects/ASVspoof/results/combo_MN,0.865682,/home/vpopescu/projects/ASVspoof/results/combo_MN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_MN/final_model.keras,,0.865682
MNO,/home/vpopescu/projects/ASVspoof/results/combo_MNO,0.925857,/home/vpopescu/projects/ASVspoof/results/combo_MNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_MNO/final_model.keras,,0.925857
MO,/home/vpopescu/projects/ASVspoof/results/combo_MO,0.891684,/home/vpopescu/projects/ASVspoof/results/combo_MO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_MO/final_model.keras,,0.891684
N,/home/vpopescu/projects/ASVspoof/results/combo_N,0.528297,/home/vpopescu/projects/ASVspoof/results/combo_N/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_N/final_model.keras,,0.528297
NO,/home/vpopescu/projects/ASVspoof/results/combo_NO,0.734141,/home/vpopescu/projects/ASVspoof/results/combo_NO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_NO/final_model.keras,,0.734141
O,/home/vpopescu/projects/ASVspoof/results/combo_O,0.720053,/home/vpopescu/projects/ASVspoof/results/combo_O/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_O/final_model.keras,,0.720053
