epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8522833585739136,0.2552242875099182,0.001,0.9519555568695068,0.13765430450439453
1,0.9651968479156494,0.08415631949901581,0.001,0.9708159565925598,0.07900041341781616
2,0.9787150621414185,0.058475855737924576,0.001,0.9652571082115173,0.10038692504167557
3,0.9807796478271484,0.04805635288357735,0.001,0.9731983542442322,0.07911901921033859
4,0.9858919382095337,0.03739309310913086,0.001,0.9714115262031555,0.08323055505752563
5,0.9884481430053711,0.027787236496806145,0.000100000005,0.9712130427360535,0.083397775888443
6,0.9898736476898193,0.026647599413990974,0.000100000005,0.9712130427360535,0.08461838960647583
7,0.989726185798645,0.024199198931455612,0.000100000005,0.9700218439102173,0.08949007838964462
8,0.9914466738700867,0.022136664018034935,1.0000001e-05,0.9702203869819641,0.0908152386546135
9,0.9910534620285034,0.022137019783258438,1.0000001e-05,0.9708159565925598,0.08668674528598785
10,0.9912992119789124,0.023016178980469704,1.0000001e-05,0.9708159565925598,0.08686529844999313
11,0.9917416572570801,0.02340908721089363,1.0000001e-06,0.9708159565925598,0.08717752248048782
