epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8971636295318604,0.0010000000474974513,0.1705731749534607,0.9835219383239746,0.08137970417737961
1,0.992577314376831,0.0010000000474974513,0.024251645430922508,0.9956323504447937,0.0182967409491539
2,0.9955267310142517,0.0010000000474974513,0.014993761666119099,0.998610258102417,0.007081557996571064
3,0.9970505833625793,0.0010000000474974513,0.00907118245959282,0.998610258102417,0.0051099867559969425
4,0.9977879524230957,0.0010000000474974513,0.006518317852169275,0.9994044303894043,0.002561760600656271
5,0.9978370666503906,0.0010000000474974513,0.007002425845712423,0.9978161454200745,0.00667704688385129
6,0.9986727833747864,0.0010000000474974513,0.0038433591835200787,0.9998014569282532,0.0012135108700022101
7,0.998181164264679,0.0010000000474974513,0.005682224407792091,0.9990073442459106,0.0030615844298154116
8,0.998771071434021,0.0010000000474974513,0.0030151018872857094,0.9994044303894043,0.001136509352363646
9,0.9988694190979004,0.0010000000474974513,0.003807338187471032,0.998610258102417,0.004139050841331482
10,0.9988694190979004,0.00010000000474974513,0.002587690018117428,0.998610258102417,0.0032483942341059446
11,0.9993118047714233,0.00010000000474974513,0.002182579366490245,0.9988088011741638,0.0031439242884516716
12,0.999360978603363,0.00010000000474974513,0.0013568737776950002,0.9990073442459106,0.00246232096105814
13,0.999557614326477,1.0000000656873453e-05,0.0012635468738153577,0.9990073442459106,0.0022600097581744194
14,0.9996559023857117,1.0000000656873453e-05,0.0010907560354098678,0.9990073442459106,0.0022535030730068684
15,0.9995084404945374,1.0000000656873453e-05,0.0011360241333022714,0.9990073442459106,0.0022438690066337585
16,0.9996559023857117,1.0000001111620804e-06,0.001228454988449812,0.9990073442459106,0.0022940151393413544
17,0.9997050762176514,1.0000001111620804e-06,0.0008251114632003009,0.9990073442459106,0.0023218023125082254
18,0.9997541904449463,1.0000001111620804e-06,0.0011759435292333364,0.9990073442459106,0.0023044394329190254
