epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.817283570766449,0.3344706594944,0.001,0.8971610069274902,0.2429577112197876
1,0.909354567527771,0.19433371722698212,0.001,0.9324995279312134,0.1668054163455963
2,0.9332448244094849,0.14972130954265594,0.001,0.9386539459228516,0.16465826332569122
3,0.9390945434570312,0.13162893056869507,0.001,0.958109974861145,0.11524650454521179
4,0.9458290338516235,0.12191236764192581,0.001,0.9513599276542664,0.13243459165096283
5,0.9516295790672302,0.10733503103256226,0.001,0.939249575138092,0.14991416037082672
6,0.9546281099319458,0.1051577478647232,0.001,0.9483819603919983,0.13199681043624878
7,0.9577741622924805,0.09393981844186783,0.000100000005,0.9463966488838196,0.13793429732322693
8,0.9623949527740479,0.08500341325998306,0.000100000005,0.945602536201477,0.13810165226459503
9,0.9650002717971802,0.07903947681188583,0.000100000005,0.9507643580436707,0.1278505176305771
10,0.9651968479156494,0.08099288493394852,1.0000001e-05,0.9515584707260132,0.12844933569431305
11,0.9644595384597778,0.07936637848615646,1.0000001e-05,0.9527496695518494,0.12723848223686218
12,0.9658359289169312,0.08084062486886978,1.0000001e-05,0.9521540403366089,0.12728674709796906
13,0.9659833908081055,0.0742000937461853,1.0000001e-06,0.9527496695518494,0.12667597830295563
