epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7699946165084839,0.3835778832435608,0.001,0.8485209345817566,0.3400401175022125
1,0.8779924511909485,0.2499179095029831,0.001,0.885249137878418,0.2536514699459076
2,0.8987366557121277,0.21125105023384094,0.001,0.8937860131263733,0.24141372740268707
3,0.9088138341903687,0.19303961098194122,0.001,0.9066904783248901,0.2203720062971115
4,0.9237575531005859,0.16946043074131012,0.001,0.9110581874847412,0.21101723611354828
5,0.9266577959060669,0.16024644672870636,0.001,0.9142346382141113,0.20595450699329376
6,0.9313277006149292,0.1483582705259323,0.001,0.9263450503349304,0.18004770576953888
7,0.9336380958557129,0.14618152379989624,0.001,0.9035139679908752,0.23221804201602936
8,0.9362434148788452,0.14334404468536377,0.001,0.9001389741897583,0.241732656955719
9,0.9431254267692566,0.12537123262882233,0.001,0.9313083291053772,0.173627108335495
10,0.9482868909835815,0.11739911884069443,0.001,0.916021466255188,0.22242362797260284
11,0.9413065910339355,0.12802284955978394,0.001,0.9088743329048157,0.2527875006198883
12,0.9494174718856812,0.11883752048015594,0.001,0.9261465072631836,0.19438670575618744
13,0.9529567956924438,0.10534442961215973,0.000100000005,0.9154258370399475,0.2321038693189621
14,0.9551196694374084,0.0959341749548912,0.000100000005,0.9217788577079773,0.2217828780412674
15,0.9578233361244202,0.09380754828453064,0.000100000005,0.922374427318573,0.21728377044200897
16,0.9599862098693848,0.09453307092189789,1.0000001e-05,0.9235656261444092,0.21101267635822296
17,0.9606744050979614,0.09465623646974564,1.0000001e-05,0.9239626526832581,0.2110450565814972
18,0.9593471884727478,0.09650475531816483,1.0000001e-05,0.9233670830726624,0.21467332541942596
19,0.9590030908584595,0.0933554470539093,1.0000001e-06,0.9229699969291687,0.2168571650981903
