epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8483507633209229,0.25896352529525757,0.001,0.9461981058120728,0.145757794380188
1,0.9662291407585144,0.08216198533773422,0.001,0.9694262742996216,0.09387136250734329
2,0.9808779358863831,0.05140700563788414,0.001,0.9571173191070557,0.12942154705524445
3,0.9830899834632874,0.04637518897652626,0.001,0.978360116481781,0.06487318873405457
4,0.9870225787162781,0.03342772647738457,0.001,0.9704188704490662,0.0861043706536293
5,0.9878090620040894,0.03082910180091858,0.001,0.9650585651397705,0.10548178851604462
6,0.9887430667877197,0.029415611177682877,0.001,0.967242419719696,0.09733092784881592
7,0.9936587810516357,0.018429391086101532,0.000100000005,0.9662497639656067,0.10101769119501114
8,0.992626428604126,0.020871903747320175,0.000100000005,0.9652571082115173,0.1045813262462616
9,0.9944944381713867,0.01524670235812664,0.000100000005,0.9654556512832642,0.10475654900074005
10,0.9943960905075073,0.01586361788213253,1.0000001e-05,0.9652571082115173,0.10344425588846207
11,0.993609607219696,0.015341690741479397,1.0000001e-05,0.9654556512832642,0.10351765900850296
12,0.9934621453285217,0.015406324528157711,1.0000001e-05,0.9656541347503662,0.10280466079711914
13,0.9932655096054077,0.017283087596297264,1.0000001e-06,0.9660512208938599,0.10087433457374573
