epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7900997996330261,0.38302791118621826,0.001,0.7131229043006897,0.6229156851768494
1,0.8844811320304871,0.2393980175256729,0.001,0.8342267274856567,0.36827585101127625
2,0.910976767539978,0.19157740473747253,0.001,0.8431606292724609,0.34345218539237976
3,0.9200707674026489,0.17316794395446777,0.001,0.8010720610618591,0.47783151268959045
4,0.9301479458808899,0.1543465405702591,0.001,0.8546754121780396,0.33547651767730713
5,0.9315243363380432,0.14600186049938202,0.001,0.8082191944122314,0.4580010175704956
6,0.9425355195999146,0.12821678817272186,0.001,0.8358149528503418,0.3857680559158325
7,0.9435678124427795,0.12374468892812729,0.001,0.852491557598114,0.35150179266929626
8,0.9430270791053772,0.11261492967605591,0.000100000005,0.8455429673194885,0.3689710795879364
9,0.9538416266441345,0.1016695499420166,0.000100000005,0.8497121334075928,0.3676747679710388
10,0.9551688432693481,0.10051880031824112,0.000100000005,0.8453444242477417,0.3866104483604431
11,0.9558570384979248,0.0982169434428215,1.0000001e-05,0.844748854637146,0.3833327889442444
12,0.9558570384979248,0.09916557371616364,1.0000001e-05,0.8443517684936523,0.3875621557235718
13,0.9558570384979248,0.09518340975046158,1.0000001e-05,0.8469327092170715,0.3779907822608948
14,0.9565452337265015,0.09507373720407486,1.0000001e-06,0.8465356230735779,0.38168975710868835
